country,NUTS,ref_area,label,sto,vintage,time_period,obs_value
DK,0,DK,Denmark,B1G,2014,2012,1607796.115
DK,0,DK,Denmark,B1G,2014,2013,1625585.849
DK,0,DK,Denmark,B6N,2014,2012,821808.2002
DK,0,DK,Denmark,D1,2014,2012,978804.0904
DK,0,DK,Denmark,EMP,2014,2012,2748.483924
DK,0,DK,Denmark,EMP,2014,2013,2748.804595
DK,0,DK,Denmark,B1G,2015,2012,1623709
DK,0,DK,Denmark,B1G,2015,2013,1643295
DK,0,DK,Denmark,B1G,2015,2014,1680251
DK,0,DK,Denmark,B6N,2015,2012,824078
DK,0,DK,Denmark,B6N,2015,2013,823394
DK,0,DK,Denmark,D1,2015,2012,977516
DK,0,DK,Denmark,D1,2015,2013,989948
DK,0,DK,Denmark,EMP,2015,2012,2740
DK,0,DK,Denmark,EMP,2015,2013,2743
DK,0,DK,Denmark,EMP,2015,2014,2765
DK,0,DK,Denmark,B1G,2016,2012,1636086
DK,0,DK,Denmark,B1G,2016,2013,1669456
DK,0,DK,Denmark,B1G,2016,2014,1715195
DK,0,DK,Denmark,B1G,2016,2015,1759565
DK,0,DK,Denmark,B6N,2016,2012,819685
DK,0,DK,Denmark,B6N,2016,2013,839894
DK,0,DK,Denmark,B6N,2016,2014,859696
DK,0,DK,Denmark,D1,2016,2012,977516
DK,0,DK,Denmark,D1,2016,2013,993804
DK,0,DK,Denmark,D1,2016,2014,1019230
DK,0,DK,Denmark,EMP,2016,2012,2767
DK,0,DK,Denmark,EMP,2016,2013,2766
DK,0,DK,Denmark,EMP,2016,2014,2794
DK,0,DK,Denmark,EMP,2016,2015,2829
DK,0,DK,Denmark,B1G,2017,2012,1636086
DK,0,DK,Denmark,B1G,2017,2013,1669456
DK,0,DK,Denmark,B1G,2017,2014,1718979
DK,0,DK,Denmark,B1G,2017,2015,1759217
DK,0,DK,Denmark,B1G,2017,2016,1789317
DK,0,DK,Denmark,B6N,2017,2012,819685
DK,0,DK,Denmark,B6N,2017,2013,839894
DK,0,DK,Denmark,B6N,2017,2014,846737
DK,0,DK,Denmark,B6N,2017,2015,893889
DK,0,DK,Denmark,D1,2017,2012,977516
DK,0,DK,Denmark,D1,2017,2013,993804
DK,0,DK,Denmark,D1,2017,2014,1018240
DK,0,DK,Denmark,D1,2017,2015,1049250
DK,0,DK,Denmark,EMP,2017,2012,2767
DK,0,DK,Denmark,EMP,2017,2013,2766
DK,0,DK,Denmark,EMP,2017,2014,2794
DK,0,DK,Denmark,EMP,2017,2015,2829
DK,0,DK,Denmark,EMP,2017,2016,2877
DK,0,DK,Denmark,B1G,2018,2012,1636086
DK,0,DK,Denmark,B1G,2018,2013,1669456
DK,0,DK,Denmark,B1G,2018,2014,1718979
DK,0,DK,Denmark,B1G,2018,2015,1767126
DK,0,DK,Denmark,B1G,2018,2016,1821807
DK,0,DK,Denmark,B1G,2018,2017,1892930.6
DK,0,DK,Denmark,B6N,2018,2012,819685
DK,0,DK,Denmark,B6N,2018,2013,839894
DK,0,DK,Denmark,B6N,2018,2014,850812
DK,0,DK,Denmark,B6N,2018,2015,889971
DK,0,DK,Denmark,B6N,2018,2016,937028
DK,0,DK,Denmark,D1,2018,2012,977516
DK,0,DK,Denmark,D1,2018,2013,993804
DK,0,DK,Denmark,D1,2018,2014,1017743
DK,0,DK,Denmark,D1,2018,2015,1049061
DK,0,DK,Denmark,D1,2018,2016,1083176
DK,0,DK,Denmark,EMP,2018,2012,2767
DK,0,DK,Denmark,EMP,2018,2013,2766
DK,0,DK,Denmark,EMP,2018,2014,2791
DK,0,DK,Denmark,EMP,2018,2015,2829
DK,0,DK,Denmark,EMP,2018,2016,2871
DK,0,DK,Denmark,EMP,2018,2017,2918.9
DK,0,DK,Denmark,B1G,2019,2012,1636086
DK,0,DK,Denmark,B1G,2019,2013,1669456
DK,0,DK,Denmark,B1G,2019,2014,1718979
DK,0,DK,Denmark,B1G,2019,2015,1767126
DK,0,DK,Denmark,B1G,2019,2016,1829138
DK,0,DK,Denmark,B1G,2019,2017,1889638
DK,0,DK,Denmark,B1G,2019,2018,1948396.73
DK,0,DK,Denmark,B6N,2019,2012,819685
DK,0,DK,Denmark,B6N,2019,2013,839894
DK,0,DK,Denmark,B6N,2019,2014,850812
DK,0,DK,Denmark,B6N,2019,2015,889971
DK,0,DK,Denmark,B6N,2019,2016,931385
DK,0,DK,Denmark,B6N,2019,2017,961638
DK,0,DK,Denmark,D1,2019,2012,977516
DK,0,DK,Denmark,D1,2019,2013,993804
DK,0,DK,Denmark,D1,2019,2014,1017743
DK,0,DK,Denmark,D1,2019,2015,1049061
DK,0,DK,Denmark,D1,2019,2016,1083211
DK,0,DK,Denmark,D1,2019,2017,1118290
DK,0,DK,Denmark,EMP,2019,2012,2767
DK,0,DK,Denmark,EMP,2019,2013,2766
DK,0,DK,Denmark,EMP,2019,2014,2791
DK,0,DK,Denmark,EMP,2019,2015,2829
DK,0,DK,Denmark,EMP,2019,2016,2876
DK,0,DK,Denmark,EMP,2019,2017,2922
DK,0,DK,Denmark,EMP,2019,2018,2963.33
DK,0,DK,Denmark,B1G,2020,2012,1636086
DK,0,DK,Denmark,B1G,2020,2013,1669456
DK,0,DK,Denmark,B1G,2020,2014,1718979
DK,0,DK,Denmark,B1G,2020,2015,1767126
DK,0,DK,Denmark,B1G,2020,2016,1829138
DK,0,DK,Denmark,B1G,2020,2017,1906874
DK,0,DK,Denmark,B1G,2020,2018,1955863
DK,0,DK,Denmark,B1G,2020,2019,2037658
DK,0,DK,Denmark,B6N,2020,2012,819685
DK,0,DK,Denmark,B6N,2020,2013,839894
DK,0,DK,Denmark,B6N,2020,2014,850812
DK,0,DK,Denmark,B6N,2020,2015,889971
DK,0,DK,Denmark,B6N,2020,2016,931385
DK,0,DK,Denmark,B6N,2020,2017,961625
DK,0,DK,Denmark,B6N,2020,2018,994475
DK,0,DK,Denmark,D1,2020,2012,977516
DK,0,DK,Denmark,D1,2020,2013,993804
DK,0,DK,Denmark,D1,2020,2014,1017743
DK,0,DK,Denmark,D1,2020,2015,1049061
DK,0,DK,Denmark,D1,2020,2016,1083211
DK,0,DK,Denmark,D1,2020,2017,1118479
DK,0,DK,Denmark,D1,2020,2018,1156874
DK,0,DK,Denmark,EMP,2020,2012,2767
DK,0,DK,Denmark,EMP,2020,2013,2766
DK,0,DK,Denmark,EMP,2020,2014,2791
DK,0,DK,Denmark,EMP,2020,2015,2829
DK,0,DK,Denmark,EMP,2020,2016,2876
DK,0,DK,Denmark,EMP,2020,2017,2920
DK,0,DK,Denmark,EMP,2020,2018,2966
DK,0,DK,Denmark,EMP,2020,2019,3002.81
DK,0,DK,Denmark,B1G,2021,2012,1636086
DK,0,DK,Denmark,B1G,2021,2013,1669456
DK,0,DK,Denmark,B1G,2021,2014,1718979
DK,0,DK,Denmark,B1G,2021,2015,1767126
DK,0,DK,Denmark,B1G,2021,2016,1829138
DK,0,DK,Denmark,B1G,2021,2017,1906874
DK,0,DK,Denmark,B1G,2021,2018,1955159
DK,0,DK,Denmark,B1G,2021,2019,2019115
DK,0,DK,Denmark,B1G,2021,2020,2027268.21
DK,0,DK,Denmark,B6N,2021,2012,819685
DK,0,DK,Denmark,B6N,2021,2013,839894
DK,0,DK,Denmark,B6N,2021,2014,850812
DK,0,DK,Denmark,B6N,2021,2015,889971
DK,0,DK,Denmark,B6N,2021,2016,931385
DK,0,DK,Denmark,B6N,2021,2017,961625
DK,0,DK,Denmark,B6N,2021,2018,993024
DK,0,DK,Denmark,B6N,2021,2019,1022559
DK,0,DK,Denmark,D1,2021,2012,977516
DK,0,DK,Denmark,D1,2021,2013,993804
DK,0,DK,Denmark,D1,2021,2014,1017743
DK,0,DK,Denmark,D1,2021,2015,1049061
DK,0,DK,Denmark,D1,2021,2016,1083211
DK,0,DK,Denmark,D1,2021,2017,1118479
DK,0,DK,Denmark,D1,2021,2018,1154314
DK,0,DK,Denmark,D1,2021,2019,1194335
DK,0,DK,Denmark,EMP,2021,2012,2767
DK,0,DK,Denmark,EMP,2021,2013,2766
DK,0,DK,Denmark,EMP,2021,2014,2791
DK,0,DK,Denmark,EMP,2021,2015,2829
DK,0,DK,Denmark,EMP,2021,2016,2876
DK,0,DK,Denmark,EMP,2021,2017,2920
DK,0,DK,Denmark,EMP,2021,2018,2963
DK,0,DK,Denmark,EMP,2021,2019,3003
DK,0,DK,Denmark,EMP,2021,2020,2981.94
DK,0,DK,Denmark,B1G,2022,2021,2175759.79
DK,0,DK,Denmark,EMP,2022,2021,3045.79
DK,0,DK,Denmark,D1,2022,2012,977516
DK,0,DK,Denmark,D1,2022,2013,993804
DK,0,DK,Denmark,D1,2022,2014,1017743
DK,0,DK,Denmark,D1,2022,2015,1049061
DK,0,DK,Denmark,D1,2022,2016,1083211
DK,0,DK,Denmark,D1,2022,2017,1118479
DK,0,DK,Denmark,D1,2022,2018,1154314
DK,0,DK,Denmark,D1,2022,2019,1194836
DK,0,DK,Denmark,D1,2022,2020,1212600
DK,0,DK,Denmark,B1G,2022,2012,1636086
DK,0,DK,Denmark,B1G,2022,2013,1669456
DK,0,DK,Denmark,B1G,2022,2014,1718979
DK,0,DK,Denmark,B1G,2022,2015,1767126
DK,0,DK,Denmark,B1G,2022,2016,1829138
DK,0,DK,Denmark,B1G,2022,2017,1906874
DK,0,DK,Denmark,B1G,2022,2018,1955159
DK,0,DK,Denmark,B1G,2022,2019,2011579
DK,0,DK,Denmark,B1G,2022,2020,2018981
DK,0,DK,Denmark,EMP,2022,2012,2767
DK,0,DK,Denmark,EMP,2022,2013,2766
DK,0,DK,Denmark,EMP,2022,2014,2791
DK,0,DK,Denmark,EMP,2022,2015,2829
DK,0,DK,Denmark,EMP,2022,2016,2876
DK,0,DK,Denmark,EMP,2022,2017,2920
DK,0,DK,Denmark,EMP,2022,2018,2963
DK,0,DK,Denmark,EMP,2022,2019,3005
DK,0,DK,Denmark,EMP,2022,2020,2973
DK,0,DK,Denmark,B6N,2022,2012,819685
DK,0,DK,Denmark,B6N,2022,2013,839894
DK,0,DK,Denmark,B6N,2022,2014,850812
DK,0,DK,Denmark,B6N,2022,2015,889971
DK,0,DK,Denmark,B6N,2022,2016,931385
DK,0,DK,Denmark,B6N,2022,2017,961625
DK,0,DK,Denmark,B6N,2022,2018,993024
DK,0,DK,Denmark,B6N,2022,2019,1023602
DK,0,DK,Denmark,B6N,2022,2020,1027587
DK,2,DK01,Hovedstaden,B1G,2014,2012,615966.1319
DK,2,DK01,Hovedstaden,B1G,2014,2013,627932.9437
DK,2,DK01,Hovedstaden,B6N,2014,2012,265239.4004
DK,2,DK01,Hovedstaden,D1,2014,2012,386493.8356
DK,2,DK01,Hovedstaden,EMP,2014,2012,969.3121533
DK,2,DK01,Hovedstaden,EMP,2014,2013,972.6428242
DK,2,DK01,Hovedstaden,B1G,2015,2012,620712
DK,2,DK01,Hovedstaden,B1G,2015,2013,634416
DK,2,DK01,Hovedstaden,B1G,2015,2014,658688
DK,2,DK01,Hovedstaden,B6N,2015,2012,266096
DK,2,DK01,Hovedstaden,B6N,2015,2013,266913
DK,2,DK01,Hovedstaden,D1,2015,2012,385626
DK,2,DK01,Hovedstaden,D1,2015,2013,391763
DK,2,DK01,Hovedstaden,EMP,2015,2012,966
DK,2,DK01,Hovedstaden,EMP,2015,2013,975
DK,2,DK01,Hovedstaden,EMP,2015,2014,986
DK,2,DK01,Hovedstaden,B1G,2016,2012,625034
DK,2,DK01,Hovedstaden,B1G,2016,2013,649515
DK,2,DK01,Hovedstaden,B1G,2016,2014,680540
DK,2,DK01,Hovedstaden,B1G,2016,2015,709292
DK,2,DK01,Hovedstaden,B6N,2016,2012,264281
DK,2,DK01,Hovedstaden,B6N,2016,2013,271806
DK,2,DK01,Hovedstaden,B6N,2016,2014,281110
DK,2,DK01,Hovedstaden,D1,2016,2012,386801
DK,2,DK01,Hovedstaden,D1,2016,2013,395443
DK,2,DK01,Hovedstaden,D1,2016,2014,407463
DK,2,DK01,Hovedstaden,EMP,2016,2012,979
DK,2,DK01,Hovedstaden,EMP,2016,2013,987
DK,2,DK01,Hovedstaden,EMP,2016,2014,999
DK,2,DK01,Hovedstaden,EMP,2016,2015,1015
DK,2,DK01,Hovedstaden,B1G,2017,2012,625034
DK,2,DK01,Hovedstaden,B1G,2017,2013,649515
DK,2,DK01,Hovedstaden,B1G,2017,2014,682105
DK,2,DK01,Hovedstaden,B1G,2017,2015,714172
DK,2,DK01,Hovedstaden,B1G,2017,2016,721029
DK,2,DK01,Hovedstaden,B6N,2017,2012,266696
DK,2,DK01,Hovedstaden,B6N,2017,2013,273087
DK,2,DK01,Hovedstaden,B6N,2017,2014,278609
DK,2,DK01,Hovedstaden,B6N,2017,2015,294724
DK,2,DK01,Hovedstaden,D1,2017,2012,386801
DK,2,DK01,Hovedstaden,D1,2017,2013,395443
