time_period,ref_area,sto,activity,unit_measure,obs_value
1995,AL,POP,_Z,PS,3177.909
1995,AT,B1G,A,XDC,3812.27
1995,AT,B1G,BTE,XDC,38259.28
1995,AT,B1G,C,XDC,31623.35
1995,AT,B1G,F,XDC,12695.05
1995,AT,B1G,GTI,XDC,35558.7
1995,AT,B1G,J,XDC,5337.83
1995,AT,B1G,K,XDC,9112.3
1995,AT,B1G,L,XDC,11785.86
1995,AT,B1G,M_N,XDC,9212.64
1995,AT,B1G,OTQ,XDC,28573.08
1995,AT,B1G,RTU,XDC,4473.62
1995,AT,B1G,_T,XDC,158820.63
1995,AT,D1,A,XDC,363.71
1995,AT,D1,BTE,XDC,22861.66
1995,AT,D1,C,XDC,20214.44
1995,AT,D1,F,XDC,7843.91
1995,AT,D1,GTI,XDC,21150.31
1995,AT,D1,J,XDC,2614.07
1995,AT,D1,K,XDC,5142.6
1995,AT,D1,L,XDC,956.56
1995,AT,D1,M_N,XDC,4245.12
1995,AT,D1,OTQ,XDC,22170.24
1995,AT,D1,RTU,XDC,2704.78
1995,AT,D1,_T,XDC,90052.98
1995,AT,D21X31,_Z,XDC,17788.12
1995,AT,EMP,A,HW,710364
1995,AT,EMP,A,PS,273.1
1995,AT,EMP,BTE,HW,1241474
1995,AT,EMP,BTE,PS,737.93
1995,AT,EMP,C,HW,1131998
1995,AT,EMP,C,PS,673.31
1995,AT,EMP,F,HW,466732
1995,AT,EMP,F,PS,280.93
1995,AT,EMP,GTI,HW,1721343
1995,AT,EMP,GTI,PS,961.54
1995,AT,EMP,J,HW,120985
1995,AT,EMP,J,PS,68.11
1995,AT,EMP,K,HW,204800
1995,AT,EMP,K,PS,125.44
1995,AT,EMP,L,HW,79353
1995,AT,EMP,L,PS,48.65
1995,AT,EMP,M_N,HW,387182
1995,AT,EMP,M_N,PS,213.17
1995,AT,EMP,OTQ,HW,1199397
1995,AT,EMP,OTQ,PS,741.27
1995,AT,EMP,RTU,HW,233503
1995,AT,EMP,RTU,PS,136.99
1995,AT,EMP,_T,HW,6365134
1995,AT,EMP,_T,PS,3587.13
1995,AT,P51G,A,XDC,1537.21
1995,AT,P51G,BTE,XDC,8388.76
1995,AT,P51G,C,XDC,5466.09
1995,AT,P51G,F,XDC,1428.48
1995,AT,P51G,GTI,XDC,6898.4
1995,AT,P51G,J,XDC,2198.43
1995,AT,P51G,K,XDC,1589.27
1995,AT,P51G,L,XDC,14771.25
1995,AT,P51G,M_N,XDC,2048.81
1995,AT,P51G,OTQ,XDC,4995.17
1995,AT,P51G,RTU,XDC,824.57
1995,AT,P51G,_T,XDC,44680.35
1995,AT,POP,_Z,PS,7948.278
1995,AT,SAL,A,HW,39192
1995,AT,SAL,A,PS,20.59
1995,AT,SAL,BTE,HW,1198079
1995,AT,SAL,BTE,PS,719.15
1995,AT,SAL,C,HW,1090024
1995,AT,SAL,C,PS,654.96
1995,AT,SAL,F,HW,431314
1995,AT,SAL,F,PS,266.78
1995,AT,SAL,GTI,HW,1456680
1995,AT,SAL,GTI,PS,863.22
1995,AT,SAL,J,HW,105569
1995,AT,SAL,J,PS,61.59
1995,AT,SAL,K,HW,185112
1995,AT,SAL,K,PS,117.57
1995,AT,SAL,L,HW,73169
1995,AT,SAL,L,PS,45.45
1995,AT,SAL,M_N,HW,273664
1995,AT,SAL,M_N,PS,166.5
1995,AT,SAL,OTQ,HW,1148053
1995,AT,SAL,OTQ,PS,718.96
1995,AT,SAL,RTU,HW,184742
1995,AT,SAL,RTU,PS,112.59
1995,AT,SAL,_T,HW,5095574
1995,AT,SAL,_T,PS,3092.4
1995,AT,SELF,A,HW,671171
1995,AT,SELF,A,PS,252.51
1995,AT,SELF,BTE,HW,43394
1995,AT,SELF,BTE,PS,18.78
1995,AT,SELF,C,HW,41975
1995,AT,SELF,C,PS,18.35
1995,AT,SELF,F,HW,35418
1995,AT,SELF,F,PS,14.15
1995,AT,SELF,GTI,HW,264664
1995,AT,SELF,GTI,PS,98.32
1995,AT,SELF,J,HW,15416
1995,AT,SELF,J,PS,6.52
1995,AT,SELF,K,HW,19688
1995,AT,SELF,K,PS,7.87
1995,AT,SELF,L,HW,6185
1995,AT,SELF,L,PS,3.2
1995,AT,SELF,M_N,HW,113518
1995,AT,SELF,M_N,PS,46.66
1995,AT,SELF,OTQ,HW,51344
1995,AT,SELF,OTQ,PS,22.32
1995,AT,SELF,RTU,HW,48762
1995,AT,SELF,RTU,PS,24.4
1995,AT,SELF,_T,HW,1269560
1995,AT,SELF,_T,PS,494.73
1995,BE,B1G,A,XDC,2750.3
1995,BE,B1G,BTE,XDC,44782.2
1995,BE,B1G,C,XDC,38595.9
1995,BE,B1G,F,XDC,10041.4
1995,BE,B1G,GTI,XDC,38094.1
1995,BE,B1G,J,XDC,5923.6
1995,BE,B1G,K,XDC,12049.9
1995,BE,B1G,L,XDC,16665.1
1995,BE,B1G,M_N,XDC,17721.6
1995,BE,B1G,OTQ,XDC,37483.1
1995,BE,B1G,RTU,XDC,4231.5
1995,BE,B1G,_T,XDC,189742.8
1995,BE,D1,A,XDC,203.7
1995,BE,D1,BTE,XDC,26907.6
1995,BE,D1,C,XDC,24553.5
1995,BE,D1,F,XDC,5741.1
1995,BE,D1,GTI,XDC,21949.9
1995,BE,D1,J,XDC,3055.4
1995,BE,D1,K,XDC,7001.7
1995,BE,D1,L,XDC,358.5
1995,BE,D1,M_N,XDC,7688.6
1995,BE,D1,OTQ,XDC,31211.2
1995,BE,D1,RTU,XDC,2387.1
1995,BE,D1,_T,XDC,106504.8
1995,BE,D21X31,_Z,XDC,20746.3
1995,BE,EMP,A,HW,150137.2
1995,BE,EMP,A,PS,89.3
1995,BE,EMP,BTE,HW,1161082.2
1995,BE,EMP,BTE,PS,719.7
1995,BE,EMP,C,HW,1092895.4
1995,BE,EMP,C,PS,677.7
1995,BE,EMP,F,HW,382437.6
1995,BE,EMP,F,PS,240.1
1995,BE,EMP,GTI,HW,1575380.2
1995,BE,EMP,GTI,PS,950.3
1995,BE,EMP,J,HW,112971.2
1995,BE,EMP,J,PS,69.4
1995,BE,EMP,K,HW,222847.6
1995,BE,EMP,K,PS,142
1995,BE,EMP,L,HW,25776
1995,BE,EMP,L,PS,17.2
1995,BE,EMP,M_N,HW,737685.8
1995,BE,EMP,M_N,PS,423.6
1995,BE,EMP,OTQ,HW,1454307.4
1995,BE,EMP,OTQ,PS,1028.7
1995,BE,EMP,RTU,HW,283622.7
1995,BE,EMP,RTU,PS,188.6
1995,BE,EMP,_T,HW,6106247.9
1995,BE,EMP,_T,PS,3868.8
1995,BE,P51G,A,XDC,458.4
1995,BE,P51G,BTE,XDC,10295.3
1995,BE,P51G,C,XDC,8204.2
1995,BE,P51G,F,XDC,1336.3
1995,BE,P51G,GTI,XDC,7804.6
1995,BE,P51G,J,XDC,1660.5
1995,BE,P51G,K,XDC,1829.7
1995,BE,P51G,L,XDC,12927.6
1995,BE,P51G,M_N,XDC,2819.7
1995,BE,P51G,OTQ,XDC,4928.5
1995,BE,P51G,RTU,XDC,629.9
1995,BE,P51G,_T,XDC,44690.5
1995,BE,POP,_Z,PS,10137
1995,BE,SAL,A,HW,16462
1995,BE,SAL,A,PS,14.7
1995,BE,SAL,BTE,HW,1080843.8
1995,BE,SAL,BTE,PS,686.8
1995,BE,SAL,C,HW,1013785.8
1995,BE,SAL,C,PS,645.3
1995,BE,SAL,F,HW,277526.3
1995,BE,SAL,F,PS,187.5
1995,BE,SAL,GTI,HW,1045234.9
1995,BE,SAL,GTI,PS,720.8
1995,BE,SAL,J,HW,103932.1
1995,BE,SAL,J,PS,65.2
1995,BE,SAL,K,HW,192529.3
1995,BE,SAL,K,PS,126.7
1995,BE,SAL,L,HW,17885.5
1995,BE,SAL,L,PS,13.4
1995,BE,SAL,M_N,HW,327936.4
1995,BE,SAL,M_N,PS,251.4
1995,BE,SAL,OTQ,HW,1334309
1995,BE,SAL,OTQ,PS,966.7
1995,BE,SAL,RTU,HW,191072.5
1995,BE,SAL,RTU,PS,137.3
1995,BE,SAL,_T,HW,4587731.9
1995,BE,SAL,_T,PS,3170.5
1995,BE,SELF,A,HW,133675.2
1995,BE,SELF,A,PS,74.6
1995,BE,SELF,BTE,HW,80238.4
1995,BE,SELF,BTE,PS,32.9
1995,BE,SELF,C,HW,79109.6
1995,BE,SELF,C,PS,32.4
1995,BE,SELF,F,HW,104911.2
1995,BE,SELF,F,PS,52.6
1995,BE,SELF,GTI,HW,530145.3
1995,BE,SELF,GTI,PS,229.4
1995,BE,SELF,J,HW,9039.2
1995,BE,SELF,J,PS,4.1
1995,BE,SELF,K,HW,30318.3
1995,BE,SELF,K,PS,15.3
1995,BE,SELF,L,HW,7890.6
1995,BE,SELF,L,PS,3.8
1995,BE,SELF,M_N,HW,409749.4
1995,BE,SELF,M_N,PS,172.2
1995,BE,SELF,OTQ,HW,119998.3
1995,BE,SELF,OTQ,PS,62
1995,BE,SELF,RTU,HW,92550.2
1995,BE,SELF,RTU,PS,51.3
1995,BE,SELF,_T,HW,1518516
1995,BE,SELF,_T,PS,698.2
1995,BG,B1G,A,XDC,117.596
1995,BG,B1G,BTE,XDC,187.834
1995,BG,B1G,C,XDC,126.318
1995,BG,B1G,F,XDC,40.375
1995,BG,B1G,GTI,XDC,153.289
1995,BG,B1G,J,XDC,23.57
1995,BG,B1G,K,XDC,80.014
1995,BG,B1G,L,XDC,304.509
1995,BG,B1G,M_N,XDC,122.569
1995,BG,B1G,OTQ,XDC,130.463
1995,BG,B1G,RTU,XDC,18.326
1995,BG,B1G,_T,XDC,1178.545
1995,BG,D1,A,XDC,12.476
1995,BG,D1,BTE,XDC,113.342
1995,BG,D1,C,XDC,84.359
1995,BG,D1,F,XDC,31.278
1995,BG,D1,GTI,XDC,84.774
1995,BG,D1,J,XDC,8.242
1995,BG,D1,K,XDC,8.075
1995,BG,D1,L,XDC,2.965
1995,BG,D1,M_N,XDC,27.62
1995,BG,D1,OTQ,XDC,80.191
1995,BG,D1,RTU,XDC,10.933
1995,BG,D1,_T,XDC,379.896
1995,BG,D21X31,_Z,XDC,97.132
1995,BG,EMP,A,HW,1197711.5
1995,BG,EMP,A,PS,777.678
1995,BG,EMP,BTE,HW,1575135.077
1995,BG,EMP,BTE,PS,935.134
1995,BG,EMP,C,HW,1339272.969
1995,BG,EMP,C,PS,795.96675
1995,BG,EMP,F,HW,329441.649
1995,BG,EMP,F,PS,182.087
1995,BG,EMP,GTI,HW,1177140.702
1995,BG,EMP,GTI,PS,641.085
1995,BG,EMP,J,HW,91823.058
1995,BG,EMP,J,PS,51.789
1995,BG,EMP,K,HW,50187.174
1995,BG,EMP,K,PS,28.316
1995,BG,EMP,L,HW,19585.823
1995,BG,EMP,L,PS,11.009
1995,BG,EMP,M_N,HW,234517.608
1995,BG,EMP,M_N,PS,131.835
1995,BG,EMP,OTQ,HW,1171192.204
1995,BG,EMP,OTQ,PS,662.409
1995,BG,EMP,RTU,HW,172391.004
1995,BG,EMP,RTU,PS,97.227
1995,BG,EMP,_T,HW,6019125.799
1995,BG,EMP,_T,PS,3518.569
1995,BG,P51G,A,XDC,16.651
1995,BG,P51G,BTE,XDC,57.352
1995,BG,P51G,C,XDC,41.842
1995,BG,P51G,F,XDC,13.195
1995,BG,P51G,GTI,XDC,32.28
1995,BG,P51G,J,XDC,7.527
1995,BG,P51G,K,XDC,7.547
1995,BG,P51G,L,XDC,1.925
1995,BG,P51G,M_N,XDC,13.858
1995,BG,P51G,OTQ,XDC,61.913
1995,BG,P51G,RTU,XDC,0.391
1995,BG,P51G,_T,XDC,212.637
1995,BG,POP,_Z,PS,8406.067
1995,BG,SAL,A,HW,307650.445
1995,BG,SAL,A,PS,172.134
1995,BG,SAL,BTE,HW,1515734.998
1995,BG,SAL,BTE,PS,901.334
1995,BG,SAL,C,HW,1279872.89
1995,BG,SAL,C,PS,762.1665
1995,BG,SAL,F,HW,310009.703
1995,BG,SAL,F,PS,171.383
1995,BG,SAL,GTI,HW,949665.666
1995,BG,SAL,GTI,PS,520.638
1995,BG,SAL,J,HW,86455.741
1995,BG,SAL,J,PS,48.899
1995,BG,SAL,K,HW,48832.241
1995,BG,SAL,K,PS,27.592
1995,BG,SAL,L,HW,17812.006
1995,BG,SAL,L,PS,10.061
1995,BG,SAL,M_N,HW,216738.825
1995,BG,SAL,M_N,PS,122.247
1995,BG,SAL,OTQ,HW,1159306.106
1995,BG,SAL,OTQ,PS,655.708
1995,BG,SAL,RTU,HW,155733.364
1995,BG,SAL,RTU,PS,88.1
1995,BG,SAL,_T,HW,4767939.095
1995,BG,SAL,_T,PS,2718.096
1995,BG,SELF,A,HW,890061.055
1995,BG,SELF,A,PS,605.544
1995,BG,SELF,BTE,HW,59400.079
1995,BG,SELF,BTE,PS,33.8
1995,BG,SELF,C,HW,59400.079
1995,BG,SELF,C,PS,33.80025
1995,BG,SELF,F,HW,19431.946
1995,BG,SELF,F,PS,10.704
1995,BG,SELF,GTI,HW,227475.036
1995,BG,SELF,GTI,PS,120.447
1995,BG,SELF,J,HW,5367.317
1995,BG,SELF,J,PS,2.89
1995,BG,SELF,K,HW,1354.933
1995,BG,SELF,K,PS,0.724
1995,BG,SELF,L,HW,1773.817
1995,BG,SELF,L,PS,0.948
1995,BG,SELF,M_N,HW,17778.783
1995,BG,SELF,M_N,PS,9.588
1995,BG,SELF,OTQ,HW,11886.098
1995,BG,SELF,OTQ,PS,6.701
1995,BG,SELF,RTU,HW,16657.64
1995,BG,SELF,RTU,PS,9.127
1995,BG,SELF,_T,HW,1251186.704
1995,BG,SELF,_T,PS,800.473
1995,CH,B1G,A,XDC,5835.95132
1995,CH,B1G,BTE,XDC,94133.793934
1995,CH,B1G,C,XDC,79396.762141
1995,CH,B1G,F,XDC,27533.313787
1995,CH,B1G,GTI,XDC,100757.249968
1995,CH,B1G,K,XDC,34601.661864
1995,CH,B1G,M_N,XDC,64639.18554
1995,CH,B1G,OTQ,XDC,68220.437407
1995,CH,B1G,RTU,XDC,9439.76661
1995,CH,B1G,_T,PC,0.449563454611206
1995,CH,B1G,_T,XDC,405161.36043
1995,CH,D1,_T,XDC,234360.037661
1995,CH,D21X31,_Z,XDC,12417.8388
1995,CH,EMP,A,HW,360918.014264
1995,CH,EMP,A,PS,161.640176
1995,CH,EMP,BTE,HW,1359552.495805
1995,CH,EMP,BTE,PS,741.398416
1995,CH,EMP,C,PS,702.560048
1995,CH,EMP,F,HW,605972.43525
1995,CH,EMP,F,PS,318.302395
1995,CH,EMP,GTI,HW,1894631.880778
1995,CH,EMP,GTI,PS,1075.063448
1995,CH,EMP,J,HW,173638.487874
1995,CH,EMP,J,PS,85.692291
1995,CH,EMP,K,HW,380968.786729
1995,CH,EMP,K,PS,186.028584
1995,CH,EMP,L,HW,256733.170742
1995,CH,EMP,L,PS,27.207778
1995,CH,EMP,M_N,PS,377.816231
1995,CH,EMP,OTQ,HW,1118154.632105
1995,CH,EMP,OTQ,PS,718.669768
1995,CH,EMP,RTU,HW,243462.738078
1995,CH,EMP,RTU,PS,223.765065
1995,CH,EMP,_T,HW,6735839.639017
1995,CH,EMP,_T,PS,3915.584152
1995,CH,P51G,_T,XDC,111060.400322
1995,CH,POP,_Z,PS,7099.85921
1995,CH,SAL,_T,HW,5670379.10221
1995,CH,SAL,_T,PS,3412.2926
1995,CH,SELF,_T,HW,1065460.536807
1995,CH,SELF,_T,PS,503.291552
1995,CY,B1G,A,XDC,366.725
1995,CY,B1G,BTE,XDC,880.32
1995,CY,B1G,C,XDC,732.294
1995,CY,B1G,F,XDC,659.874
1995,CY,B1G,GTI,XDC,2177.752
1995,CY,B1G,J,XDC,176.483
1995,CY,B1G,K,XDC,367.827
1995,CY,B1G,L,XDC,430.587
1995,CY,B1G,M_N,XDC,483.376
1995,CY,B1G,OTQ,XDC,1211.494
1995,CY,B1G,RTU,XDC,253.174
1995,CY,B1G,_T,XDC,7007.612
1995,CY,D1,A,XDC,43.949
1995,CY,D1,BTE,XDC,331.382
1995,CY,D1,C,XDC,281.411
1995,CY,D1,F,XDC,241.49
1995,CY,D1,GTI,XDC,778.013
1995,CY,D1,J,XDC,72.472
1995,CY,D1,K,XDC,295.507
1995,CY,D1,L,XDC,3.746
1995,CY,D1,M_N,XDC,172.541
1995,CY,D1,OTQ,XDC,1015.721
1995,CY,D1,RTU,XDC,143.051
1995,CY,D1,_T,XDC,3097.872
1995,CY,D21X31,_Z,XDC,670.7
1995,CY,EMP,A,HW,62538.871
1995,CY,EMP,A,PS,22.101
1995,CY,EMP,BTE,HW,90465.555
1995,CY,EMP,BTE,PS,47.281
1995,CY,EMP,C,HW,83406.987
1995,CY,EMP,C,PS,43.381
1995,CY,EMP,F,HW,52704.946
1995,CY,EMP,F,PS,28.342
1995,CY,EMP,GTI,HW,186664.764
1995,CY,EMP,GTI,PS,97.825
1995,CY,EMP,J,HW,9531.403
1995,CY,EMP,J,PS,5.086
1995,CY,EMP,K,HW,21071.833
1995,CY,EMP,K,PS,12.742
1995,CY,EMP,L,HW,1680.205
1995,CY,EMP,L,PS,0.863
1995,CY,EMP,M_N,HW,26922.255
1995,CY,EMP,M_N,PS,13.898
1995,CY,EMP,OTQ,HW,81500.884
1995,CY,EMP,OTQ,PS,51.768
1995,CY,EMP,RTU,HW,29077.047
1995,CY,EMP,RTU,PS,16.034
1995,CY,EMP,_T,HW,562157.763
1995,CY,EMP,_T,PS,295.94
1995,CY,P51G,A,XDC,56.806
1995,CY,P51G,BTE,XDC,178.329
1995,CY,P51G,C,XDC,104.856
1995,CY,P51G,F,XDC,29.064
1995,CY,P51G,GTI,XDC,636.667
1995,CY,P51G,J,XDC,47.167
1995,CY,P51G,K,XDC,46.468
1995,CY,P51G,L,XDC,617.784
1995,CY,P51G,M_N,XDC,35.056
1995,CY,P51G,OTQ,XDC,250.904
1995,CY,P51G,RTU,XDC,36.866
1995,CY,P51G,_T,XDC,1935.1
1995,CY,POP,_Z,PS,650.85
1995,CY,SAL,A,HW,13866.875
1995,CY,SAL,A,PS,6.923
1995,CY,SAL,BTE,HW,71100.861
1995,CY,SAL,BTE,PS,38.133
1995,CY,SAL,C,HW,64651.958
1995,CY,SAL,C,PS,34.432
1995,CY,SAL,F,HW,37232.321
1995,CY,SAL,F,PS,20.915
1995,CY,SAL,GTI,HW,127664.187
1995,CY,SAL,GTI,PS,70.073
