type,table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,obs_value
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2009,3.7
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2010,3.75
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2011,3.17
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2012,1.03
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2013,1.13
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2014,2.13
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2015,2.27
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2016,3.19
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2017,3.83
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2018,4.11
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2019,2.37
T,T1001,AL,AL,0,_Z,B1G,_T,PC,2020,-3.13
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2009,3.7
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2010,3.75
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2011,3.17
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2012,1.03
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2013,1.13
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2014,2.13
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2015,2.27
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2016,3.19
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2017,3.83
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2018,4.11
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2019,2.37
T,T1001,AL,AL0,1,_Z,B1G,_T,PC,2020,-3.13
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2009,4.45
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2010,6.79
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2011,-0.29
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2012,1.73
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2013,-0.39
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2014,-0.75
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2015,4.34
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2016,3.69
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2017,2.39
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2018,2.62
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2019,2.38
T,T1001,AL,AL01,2,_Z,B1G,_T,PC,2020,-4.91
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2009,4.56
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2010,2.15
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2011,-0.29
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2012,0.57
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2013,1.7
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2014,3
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2015,4.94
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2016,3.13
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2017,7.15
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2018,4.99
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2019,2.53
T,T1001,AL,AL02,2,_Z,B1G,_T,PC,2020,-2.45
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2009,1.65
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2010,3.89
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2011,11.87
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2012,1.18
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2013,1.48
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2014,3.06
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2015,-3.08
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2016,2.89
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2017,-0.36
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2018,3.81
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2019,2.1
T,T1001,AL,AL03,2,_Z,B1G,_T,PC,2020,-2.88
T,T1001,AL,AL,0,B,B1G,_T,XDC,2008,936917.32
T,T1001,AL,AL,0,B,B1G,_T,XDC,2009,989796.27
T,T1001,AL,AL,0,B,B1G,_T,XDC,2010,1077484.53
T,T1001,AL,AL,0,B,B1G,_T,XDC,2011,1131120.78
T,T1001,AL,AL,0,B,B1G,_T,XDC,2012,1154746.55
T,T1001,AL,AL,0,B,B1G,_T,XDC,2013,1177698.42
T,T1001,AL,AL,0,B,B1G,_T,XDC,2014,1217843.37
T,T1001,AL,AL,0,B,B1G,_T,XDC,2015,1259726.07
T,T1001,AL,AL,0,B,B1G,_T,XDC,2016,1291203.2
T,T1001,AL,AL,0,B,B1G,_T,XDC,2017,1354490.24
T,T1001,AL,AL,0,B,B1G,_T,XDC,2018,1431557.91
T,T1001,AL,AL,0,B,B1G,_T,XDC,2019,1478999.18
T,T1001,AL,AL,0,B,B1G,_T,XDC,2020,1441237.03
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2008,2947.311
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2009,2927.515
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2010,2913.021
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2011,2905.195
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2012,2900.401
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2013,2895.092
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2014,2889.104
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2015,2880.703
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2016,2876.101
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2017,2873.457
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2018,2866.376
T,T1001,AL,AL,0,_Z,POP,_Z,PS,2019,2854.191
