type,table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,obs_value
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2000,4.081267
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2001,3.868107
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2002,3.866785
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2003,3.1182
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2004,4.344363
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2005,3.627555
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2006,5.96683
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2007,7.161783
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2008,3.156622
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2009,-7.063106
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2010,1.447062
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2011,0.578569
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2012,-2.282215
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2013,-0.697704
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2014,3.445862
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2015,2.154817
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2016,3.238571
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2017,5.136836
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2018,4.416122
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2019,3.473656
T,T1001,SI,SI,0,_Z,B1G,_T,PC,2020,-3.385663
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2000,4.081267
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2001,3.868107
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2002,3.866785
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2003,3.1182
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2004,4.344363
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2005,3.627555
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2006,5.96683
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2007,7.161783
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2008,3.156622
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2009,-7.063106
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2010,1.447062
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2011,0.578569
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2012,-2.282215
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2013,-0.697704
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2014,3.445862
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2015,2.154817
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2016,3.238571
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2017,5.136836
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2018,4.416122
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2019,3.473656
T,T1001,SI,SI0,1,_Z,B1G,_T,PC,2020,-3.385663
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2001,2.729461
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2002,4.162047
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2003,0.825403
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2004,4.69024
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2005,3.3778
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2006,5.369842
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2007,6.9299
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2008,3.399377
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2009,-8.351592
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2010,1.652934
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2011,0.965973
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2012,-2.811966
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2013,-1.074783
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2014,3.222004
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2015,1.795122
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2016,2.658342
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2017,4.814615
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2018,3.849392
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2019,3.929247
T,T1001,SI,SI03,2,_Z,B1G,_T,PC,2020,-3.578448
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2001,4.85565
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2002,3.615626
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2003,5.068871
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2004,4.062408
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2005,3.831496
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2006,6.452745
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2007,7.347748
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2008,2.962938
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2009,-6.036381
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2010,1.286196
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2011,0.276272
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2012,-1.863642
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2013,-0.400527
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2014,3.622869
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2015,2.43808
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2016,3.694
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2017,5.387296
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2018,4.852979
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2019,3.124997
T,T1001,SI,SI04,2,_Z,B1G,_T,PC,2020,-3.237601
T,T1001,SI,SI,0,B,B1G,_T,XDC,2000,16464.202497
T,T1001,SI,SI,0,B,B1G,_T,XDC,2001,18555.796618
T,T1001,SI,SI,0,B,B1G,_T,XDC,2002,20566.067526
T,T1001,SI,SI,0,B,B1G,_T,XDC,2003,22419.073199
T,T1001,SI,SI,0,B,B1G,_T,XDC,2004,24239.159582
T,T1001,SI,SI,0,B,B1G,_T,XDC,2005,25568.708285
T,T1001,SI,SI,0,B,B1G,_T,XDC,2006,27649.612104
T,T1001,SI,SI,0,B,B1G,_T,XDC,2007,30729.582288
T,T1001,SI,SI,0,B,B1G,_T,XDC,2008,33204.329092
T,T1001,SI,SI,0,B,B1G,_T,XDC,2009,31725.239891
T,T1001,SI,SI,0,B,B1G,_T,XDC,2010,31693.477465
T,T1001,SI,SI,0,B,B1G,_T,XDC,2011,32265.719526
T,T1001,SI,SI,0,B,B1G,_T,XDC,2012,31475.16157
T,T1001,SI,SI,0,B,B1G,_T,XDC,2013,31508.781915
T,T1001,SI,SI,0,B,B1G,_T,XDC,2014,32531.992419
T,T1001,SI,SI,0,B,B1G,_T,XDC,2015,33591.72703
T,T1001,SI,SI,0,B,B1G,_T,XDC,2016,35029.562981
T,T1001,SI,SI,0,B,B1G,_T,XDC,2017,37369.986855
T,T1001,SI,SI,0,B,B1G,_T,XDC,2018,39949.273377
T,T1001,SI,SI,0,B,B1G,_T,XDC,2019,42328.543963
T,T1001,SI,SI,0,B,B1G,_T,XDC,2020,41480.368045
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2000,914.742816
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2001,919.971691
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2002,934.481724
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2003,931.535328
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2004,934.366094
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2005,929.858033
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2006,944.472757
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2007,976.123108
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2008,1000.52843
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2009,984.065437
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2010,963.422604
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2011,947.248573
T,T1001,SI,SI,0,_Z,EMP,_T,PS,2012,938.282167
