table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,CY,CY,0,_Z,B1G,_T,PC,2000,T,5.965
T1001,CY,CY,0,_Z,B1G,_T,PC,2000,V,5.965
T1001,CY,CY,0,_Z,B1G,_T,PC,2001,T,3.953
T1001,CY,CY,0,_Z,B1G,_T,PC,2001,V,3.953
T1001,CY,CY,0,_Z,B1G,_T,PC,2002,T,3.723
T1001,CY,CY,0,_Z,B1G,_T,PC,2002,V,3.723
T1001,CY,CY,0,_Z,B1G,_T,PC,2003,T,2.623
T1001,CY,CY,0,_Z,B1G,_T,PC,2003,V,2.623
T1001,CY,CY,0,_Z,B1G,_T,PC,2004,T,5.026
T1001,CY,CY,0,_Z,B1G,_T,PC,2004,V,5.026
T1001,CY,CY,0,_Z,B1G,_T,PC,2005,T,4.853
T1001,CY,CY,0,_Z,B1G,_T,PC,2005,V,4.853
T1001,CY,CY,0,_Z,B1G,_T,PC,2006,T,4.714
T1001,CY,CY,0,_Z,B1G,_T,PC,2006,V,4.714
T1001,CY,CY,0,_Z,B1G,_T,PC,2007,T,5.098
T1001,CY,CY,0,_Z,B1G,_T,PC,2007,V,5.098
T1001,CY,CY,0,_Z,B1G,_T,PC,2008,T,3.647
T1001,CY,CY,0,_Z,B1G,_T,PC,2008,V,3.647
T1001,CY,CY,0,_Z,B1G,_T,PC,2009,T,-2.015
T1001,CY,CY,0,_Z,B1G,_T,PC,2009,V,-2.015
T1001,CY,CY,0,_Z,B1G,_T,PC,2010,T,2.32
T1001,CY,CY,0,_Z,B1G,_T,PC,2010,V,2.015
T1001,CY,CY,0,_Z,B1G,_T,PC,2011,T,0.417
T1001,CY,CY,0,_Z,B1G,_T,PC,2011,V,0.401
T1001,CY,CY,0,_Z,B1G,_T,PC,2012,T,-3.447
T1001,CY,CY,0,_Z,B1G,_T,PC,2012,V,-3.447
T1001,CY,CY,0,_Z,B1G,_T,PC,2013,T,-6.587
T1001,CY,CY,0,_Z,B1G,_T,PC,2013,V,-6.553
T1001,CY,CY,0,_Z,B1G,_T,PC,2014,T,-1.776
T1001,CY,CY,0,_Z,B1G,_T,PC,2014,V,-1.829
T1001,CY,CY,0,_Z,B1G,_T,PC,2015,T,3.26
T1001,CY,CY,0,_Z,B1G,_T,PC,2015,V,3.219
T1001,CY,CY,0,_Z,B1G,_T,PC,2016,T,6.574
T1001,CY,CY,0,_Z,B1G,_T,PC,2016,V,6.438
T1001,CY,CY,0,_Z,B1G,_T,PC,2017,T,5.75
T1001,CY,CY,0,_Z,B1G,_T,PC,2017,V,5.886
T1001,CY,CY,0,_Z,B1G,_T,PC,2018,T,5.67
T1001,CY,CY,0,_Z,B1G,_T,PC,2018,V,5.724
T1001,CY,CY,0,_Z,B1G,_T,PC,2019,T,5.671
T1001,CY,CY,0,_Z,B1G,_T,PC,2019,V,5.283
T1001,CY,CY,0,_Z,B1G,_T,PC,2020,T,-4.372
T1001,CY,CY,0,_Z,B1G,_T,PC,2020,V,-5.229
T1001,CY,CY,0,_Z,B1G,_T,PC,2021,T,6.639
T1001,CY,CY,0,_Z,B1G,_T,PC,2021,V,
T1001,CY,CY,0,B,B1G,_T,XDC,2000,T,9653.681
T1001,CY,CY,0,B,B1G,_T,XDC,2000,V,9653.681
T1001,CY,CY,0,B,B1G,_T,XDC,2001,T,10342.591
T1001,CY,CY,0,B,B1G,_T,XDC,2001,V,10342.591
T1001,CY,CY,0,B,B1G,_T,XDC,2002,T,10703.837
T1001,CY,CY,0,B,B1G,_T,XDC,2002,V,10703.837
T1001,CY,CY,0,B,B1G,_T,XDC,2003,T,11396.588
T1001,CY,CY,0,B,B1G,_T,XDC,2003,V,11396.588
T1001,CY,CY,0,B,B1G,_T,XDC,2004,T,12190.142
T1001,CY,CY,0,B,B1G,_T,XDC,2004,V,12190.142
T1001,CY,CY,0,B,B1G,_T,XDC,2005,T,12949.748
T1001,CY,CY,0,B,B1G,_T,XDC,2005,V,12949.748
T1001,CY,CY,0,B,B1G,_T,XDC,2006,T,13935.86
T1001,CY,CY,0,B,B1G,_T,XDC,2006,V,13935.86
T1001,CY,CY,0,B,B1G,_T,XDC,2007,T,15116.038
T1001,CY,CY,0,B,B1G,_T,XDC,2007,V,15116.038
T1001,CY,CY,0,B,B1G,_T,XDC,2008,T,16416.525
T1001,CY,CY,0,B,B1G,_T,XDC,2008,V,16416.525
T1001,CY,CY,0,B,B1G,_T,XDC,2009,T,16419.53
T1001,CY,CY,0,B,B1G,_T,XDC,2009,V,16419.53
T1001,CY,CY,0,B,B1G,_T,XDC,2010,T,17160.459
T1001,CY,CY,0,B,B1G,_T,XDC,2010,V,17109.306
T1001,CY,CY,0,B,B1G,_T,XDC,2011,T,17649.124
T1001,CY,CY,0,B,B1G,_T,XDC,2011,V,17594.082
T1001,CY,CY,0,B,B1G,_T,XDC,2012,T,17293.858
T1001,CY,CY,0,B,B1G,_T,XDC,2012,V,17239.263
