table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,DK,DK,0,_Z,B1G,_T,PC,2000,T,4.68
T1001,DK,DK,0,_Z,B1G,_T,PC,2000,V,4.68
T1001,DK,DK,0,_Z,B1G,_T,PC,2001,T,0.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2001,V,0.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2002,T,0.31
T1001,DK,DK,0,_Z,B1G,_T,PC,2002,V,0.31
T1001,DK,DK,0,_Z,B1G,_T,PC,2003,T,0.38
T1001,DK,DK,0,_Z,B1G,_T,PC,2003,V,0.38
T1001,DK,DK,0,_Z,B1G,_T,PC,2004,T,1.98
T1001,DK,DK,0,_Z,B1G,_T,PC,2004,V,1.98
T1001,DK,DK,0,_Z,B1G,_T,PC,2005,T,1.62
T1001,DK,DK,0,_Z,B1G,_T,PC,2005,V,1.62
T1001,DK,DK,0,_Z,B1G,_T,PC,2006,T,3.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2006,V,3.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2007,T,0.5
T1001,DK,DK,0,_Z,B1G,_T,PC,2007,V,0.5
T1001,DK,DK,0,_Z,B1G,_T,PC,2008,T,0.06
T1001,DK,DK,0,_Z,B1G,_T,PC,2008,V,0.06
T1001,DK,DK,0,_Z,B1G,_T,PC,2009,T,-4.45
T1001,DK,DK,0,_Z,B1G,_T,PC,2009,V,-4.45
T1001,DK,DK,0,_Z,B1G,_T,PC,2010,T,1.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2010,V,1.84
T1001,DK,DK,0,_Z,B1G,_T,PC,2011,T,1.55
T1001,DK,DK,0,_Z,B1G,_T,PC,2011,V,1.55
T1001,DK,DK,0,_Z,B1G,_T,PC,2012,T,0.22
T1001,DK,DK,0,_Z,B1G,_T,PC,2012,V,0.22
T1001,DK,DK,0,_Z,B1G,_T,PC,2013,T,0.92
T1001,DK,DK,0,_Z,B1G,_T,PC,2013,V,0.92
T1001,DK,DK,0,_Z,B1G,_T,PC,2014,T,1.55
T1001,DK,DK,0,_Z,B1G,_T,PC,2014,V,1.55
T1001,DK,DK,0,_Z,B1G,_T,PC,2015,T,2.17
T1001,DK,DK,0,_Z,B1G,_T,PC,2015,V,2.17
T1001,DK,DK,0,_Z,B1G,_T,PC,2016,T,3.18
T1001,DK,DK,0,_Z,B1G,_T,PC,2016,V,3.18
T1001,DK,DK,0,_Z,B1G,_T,PC,2017,T,2.97
T1001,DK,DK,0,_Z,B1G,_T,PC,2017,V,2.97
T1001,DK,DK,0,_Z,B1G,_T,PC,2018,T,1.75
T1001,DK,DK,0,_Z,B1G,_T,PC,2018,V,1.75
T1001,DK,DK,0,_Z,B1G,_T,PC,2019,T,1.48
T1001,DK,DK,0,_Z,B1G,_T,PC,2019,V,2.21
T1001,DK,DK,0,_Z,B1G,_T,PC,2020,T,-2.45
T1001,DK,DK,0,_Z,B1G,_T,PC,2020,V,-2.36
T1001,DK,DK,0,_Z,B1G,_T,PC,2021,T,5.06
T1001,DK,DK,0,_Z,B1G,_T,PC,2021,V,
T1001,DK,DK,0,B,B1G,_T,XDC,2000,T,1143122.73
T1001,DK,DK,0,B,B1G,_T,XDC,2000,V,1143123
T1001,DK,DK,0,B,B1G,_T,XDC,2001,T,1181118.38
T1001,DK,DK,0,B,B1G,_T,XDC,2001,V,1181118
T1001,DK,DK,0,B,B1G,_T,XDC,2002,T,1211617.11
T1001,DK,DK,0,B,B1G,_T,XDC,2002,V,1211617
T1001,DK,DK,0,B,B1G,_T,XDC,2003,T,1235824.3
T1001,DK,DK,0,B,B1G,_T,XDC,2003,V,1235824
T1001,DK,DK,0,B,B1G,_T,XDC,2004,T,1291321.55
T1001,DK,DK,0,B,B1G,_T,XDC,2004,V,1291322
T1001,DK,DK,0,B,B1G,_T,XDC,2005,T,1347650.37
T1001,DK,DK,0,B,B1G,_T,XDC,2005,V,1347650
T1001,DK,DK,0,B,B1G,_T,XDC,2006,T,1428654.1
T1001,DK,DK,0,B,B1G,_T,XDC,2006,V,1428654
T1001,DK,DK,0,B,B1G,_T,XDC,2007,T,1475014.74
T1001,DK,DK,0,B,B1G,_T,XDC,2007,V,1475015
T1001,DK,DK,0,B,B1G,_T,XDC,2008,T,1545452.49
T1001,DK,DK,0,B,B1G,_T,XDC,2008,V,1545452
T1001,DK,DK,0,B,B1G,_T,XDC,2009,T,1484940.57
T1001,DK,DK,0,B,B1G,_T,XDC,2009,V,1484941
T1001,DK,DK,0,B,B1G,_T,XDC,2010,T,1562742.71
T1001,DK,DK,0,B,B1G,_T,XDC,2010,V,1562743
T1001,DK,DK,0,B,B1G,_T,XDC,2011,T,1593742.16
T1001,DK,DK,0,B,B1G,_T,XDC,2011,V,1593742
T1001,DK,DK,0,B,B1G,_T,XDC,2012,T,1636086.4
T1001,DK,DK,0,B,B1G,_T,XDC,2012,V,1636086
T1001,DK,DK,0,B,B1G,_T,XDC,2013,T,1669456.22
T1001,DK,DK,0,B,B1G,_T,XDC,2013,V,1669456
T1001,DK,DK,0,B,B1G,_T,XDC,2014,T,1718978.93
T1001,DK,DK,0,B,B1G,_T,XDC,2014,V,1718979
T1001,DK,DK,0,B,B1G,_T,XDC,2015,T,1767126.44
T1001,DK,DK,0,B,B1G,_T,XDC,2015,V,1767126
T1001,DK,DK,0,B,B1G,_T,XDC,2016,T,1829137.89
T1001,DK,DK,0,B,B1G,_T,XDC,2016,V,1829138
T1001,DK,DK,0,B,B1G,_T,XDC,2017,T,1906874.33
T1001,DK,DK,0,B,B1G,_T,XDC,2017,V,1906874
T1001,DK,DK,0,B,B1G,_T,XDC,2018,T,1955158.92
T1001,DK,DK,0,B,B1G,_T,XDC,2018,V,1955159
T1001,DK,DK,0,B,B1G,_T,XDC,2019,T,2011578.57
T1001,DK,DK,0,B,B1G,_T,XDC,2019,V,2019115
T1001,DK,DK,0,B,B1G,_T,XDC,2020,T,2018980.66
T1001,DK,DK,0,B,B1G,_T,XDC,2020,V,2027268.21
T1001,DK,DK,0,B,B1G,_T,XDC,2021,T,2175759.79
T1001,DK,DK,0,B,B1G,_T,XDC,2021,V,
T1001,DK,DK,0,_Z,EMP,_T,PS,2000,T,2755.15
T1001,DK,DK,0,_Z,EMP,_T,PS,2000,V,2755
T1001,DK,DK,0,_Z,EMP,_T,PS,2001,T,2782.47
T1001,DK,DK,0,_Z,EMP,_T,PS,2001,V,2782
T1001,DK,DK,0,_Z,EMP,_T,PS,2002,T,2784.2
T1001,DK,DK,0,_Z,EMP,_T,PS,2002,V,2784
T1001,DK,DK,0,_Z,EMP,_T,PS,2003,T,2758.65
T1001,DK,DK,0,_Z,EMP,_T,PS,2003,V,2759
T1001,DK,DK,0,_Z,EMP,_T,PS,2004,T,2744.15
T1001,DK,DK,0,_Z,EMP,_T,PS,2004,V,2744
T1001,DK,DK,0,_Z,EMP,_T,PS,2005,T,2783.16
T1001,DK,DK,0,_Z,EMP,_T,PS,2005,V,2783
T1001,DK,DK,0,_Z,EMP,_T,PS,2006,T,2845.94
T1001,DK,DK,0,_Z,EMP,_T,PS,2006,V,2846
T1001,DK,DK,0,_Z,EMP,_T,PS,2007,T,2912.41
T1001,DK,DK,0,_Z,EMP,_T,PS,2007,V,2912
T1001,DK,DK,0,_Z,EMP,_T,PS,2008,T,2946.87
T1001,DK,DK,0,_Z,EMP,_T,PS,2008,V,2947
T1001,DK,DK,0,_Z,EMP,_T,PS,2009,T,2854.35
T1001,DK,DK,0,_Z,EMP,_T,PS,2009,V,2854
T1001,DK,DK,0,_Z,EMP,_T,PS,2010,T,2787.86
