table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1002,SI,SI,0,D,P51G,_T,XDC,2000,T,5168.641675
T1002,SI,SI,0,D,P51G,_T,XDC,2000,V,5168.641675
T1002,SI,SI,0,D,P51G,_T,XDC,2001,T,5572.661338
T1002,SI,SI,0,D,P51G,_T,XDC,2001,V,5572.661338
T1002,SI,SI,0,D,P51G,_T,XDC,2002,T,5786.541561
T1002,SI,SI,0,D,P51G,_T,XDC,2002,V,5786.541561
T1002,SI,SI,0,D,P51G,_T,XDC,2003,T,6411.292436
T1002,SI,SI,0,D,P51G,_T,XDC,2003,V,6411.292436
T1002,SI,SI,0,D,P51G,_T,XDC,2004,T,7187.620224
T1002,SI,SI,0,D,P51G,_T,XDC,2004,V,7187.620224
T1002,SI,SI,0,D,P51G,_T,XDC,2005,T,7742.155228
T1002,SI,SI,0,D,P51G,_T,XDC,2005,V,7742.155228
T1002,SI,SI,0,D,P51G,_T,XDC,2006,T,8731.617812
T1002,SI,SI,0,D,P51G,_T,XDC,2006,V,8731.617812
T1002,SI,SI,0,D,P51G,_T,XDC,2007,T,10048.978111
T1002,SI,SI,0,D,P51G,_T,XDC,2007,V,10048.978111
T1002,SI,SI,0,D,P51G,_T,XDC,2008,T,11166.450555
T1002,SI,SI,0,D,P51G,_T,XDC,2008,V,11166.450555
T1002,SI,SI,0,D,P51G,_T,XDC,2009,T,8748.53811
T1002,SI,SI,0,D,P51G,_T,XDC,2009,V,8748.53811
T1002,SI,SI,0,D,P51G,_T,XDC,2010,T,7666.088577
T1002,SI,SI,0,D,P51G,_T,XDC,2010,V,7666.088577
T1002,SI,SI,0,D,P51G,_T,XDC,2011,T,7391.117889
T1002,SI,SI,0,D,P51G,_T,XDC,2011,V,7391.117889
T1002,SI,SI,0,D,P51G,_T,XDC,2012,T,6899.619869
T1002,SI,SI,0,D,P51G,_T,XDC,2012,V,6899.619869
T1002,SI,SI,0,D,P51G,_T,XDC,2013,T,7157.296009
T1002,SI,SI,0,D,P51G,_T,XDC,2013,V,7157.296009
T1002,SI,SI,0,D,P51G,_T,XDC,2014,T,7191.00165
T1002,SI,SI,0,D,P51G,_T,XDC,2014,V,7191.00165
T1002,SI,SI,0,D,P51G,_T,XDC,2015,T,7247.801161
T1002,SI,SI,0,D,P51G,_T,XDC,2015,V,7247.801161
T1002,SI,SI,0,D,P51G,_T,XDC,2016,T,7028.674857
T1002,SI,SI,0,D,P51G,_T,XDC,2016,V,7028.674857
T1002,SI,SI,0,D,P51G,_T,XDC,2017,T,7879.838326
T1002,SI,SI,0,D,P51G,_T,XDC,2017,V,7879.838326
T1002,SI,SI,0,D,P51G,_T,XDC,2018,T,8869.292879
T1002,SI,SI,0,D,P51G,_T,XDC,2018,V,8834.391024
T1002,SI,SI,0,D,P51G,_T,XDC,2019,T,9495.580223
T1002,SI,SI,0,D,P51G,_T,XDC,2019,V,9495.411994
T1002,SI,SI,0,D,P51G,_T,XDC,2020,T,8870.048191
T1002,SI,SI,0,D,P51G,_T,XDC,2020,V,
T1002,SI,SI,0,D,P51G,A,XDC,2000,T,146.702453
T1002,SI,SI,0,D,P51G,A,XDC,2000,V,146.702453
T1002,SI,SI,0,D,P51G,A,XDC,2001,T,171.284782
T1002,SI,SI,0,D,P51G,A,XDC,2001,V,171.284782
T1002,SI,SI,0,D,P51G,A,XDC,2002,T,198.53215
T1002,SI,SI,0,D,P51G,A,XDC,2002,V,198.53215
T1002,SI,SI,0,D,P51G,A,XDC,2003,T,209.016739
