country;sto;prices;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AL;B1G;Y;387629.8437;419587.1799;482037.5652;525205.6846;567890.4952;631036.9013;681326.7424;744743.471;799493.3076;892993.8284;971613.123;1026912.073;1111672.19;1142825.902;1167773.778;1202801.014;1245545.132;1299919.664;1340650.932;1410119.231;1465549.089;1432665.026;1565158.28
AL;B1G;V;396081.8734;442126.723;503693.0398;542777.5498;596038.2246;647538.5483;703494.2442;755264.8339;841299.3201;936917.3463;989796.2727;1077484.546;1131120.799;1154746.558;1177698.413;1217843.175;1259726.07;1291203.203;1354490.24;1431557.911;1478999.177;1441236.981;1647949.111
AL;B1GQ;Y;434458.1087;474406.9388;542764.8872;589010.0531;644246.2437;715113.3997;778421.8771;851629.618;924952.9797;1037943.209;1116924.812;1186341.001;1271198.938;1319056.966;1346165.583;1374009.145;1426262.982;1481853.66;1528465.699;1612971.325;1670899.804;1632997.653;1784078.689
AL;B1GQ;V;443593.6444;501198.993;563448.8123;610494.2748;677737.5246;737655.5483;804163.2102;872735.0989;965527.7601;1080675.931;1143936.458;1239644.585;1300624.08;1332810.989;1350052.636;1395304.632;1434306.511;1472479.127;1550645.486;1636731.322;1691903.43;1644077.27;1889839.12
AL;D21X31;Y;46828.26497;54819.75894;60727.32197;63804.36843;76355.74852;84076.49837;97095.13467;106886.1469;125459.6721;144949.3804;145311.6889;159428.9279;159526.7473;176231.0641;178391.8053;171208.1316;180717.8505;181933.996;187814.7662;202852.0939;205350.7158;200332.6275;218920.4089
AL;D21X31;V;47511.771;59072.27;59755.77248;67716.725;81699.3;90117;100668.966;117470.265;124228.4401;143758.5849;154140.1849;162160.0385;169503.281;178064.4316;172354.2228;177461.4571;174580.4411;181275.9239;196155.2459;205173.4111;212904.2525;202840.2893;241890.0093
AT;B1G;Y;180748.64;188179.2;193284.93;200219.54;204606.72;213302.67;221149.45;234396.66;248314.83;257745.54;251416.97;261588.34;272240.29;277865.8;283953.42;290592.29;299742.44;313032.69;326338.41;338045.8;349331.83;331975.96;355602.17
AT;B1G;V;181186.53;190624.81;197076.6;202353.36;207247.67;216098.33;225888.12;239076.01;253604.66;262414.78;256670.97;263633.49;276404;283548.23;288624.22;297230.17;307037.68;318952.72;329416.81;344266.93;354934.88;341994.21;363340.88
AT;B1GQ;Y;203329.35;210732.02;216313.23;224167.17;228869.87;238204.18;247786.71;262850.88;277807.39;288125.25;282703.01;293335.66;304545.1;312238.91;318734.32;326052.13;336525.84;351118.25;365684.78;378320.33;391120.19;371536.34;398406.02
AT;B1GQ;V;203850.58;213606.48;220525.08;226735.22;231862.46;242348.26;254075.03;267824.45;283977.97;293761.91;288044.02;295896.64;310128.66;318653.04;323910.2;333146.07;344269.23;357607.95;369361.87;385274.09;397169.54;381042.48;406148.67
AT;D21X31;Y;22580.71;22552.82;23028.3;23947.63;24263.15;24901.51;26637.27;28454.22;29492.56;30379.72;31286.04;31747.33;32304.81;34373.11;34780.9;35459.85;36783.4;38085.56;39346.37;40274.53;41788.36;39560.38;42803.85
